17:45:07.919550 config: drop-rate=0.00, max-delay=0s, seed=1543272307919550300
17:45:07.919550 router is listening at :3000
17:45:09.771447 [queue=0] packet #1, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=3 is delivered
17:45:09.772448 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64155, sz=7 is delivered
17:45:09.773448 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:10.773485 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:11.773948 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:12.774569 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:13.775076 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:14.775534 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:15.776006 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:16.776473 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:17.776951 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:18.777422 [queue=0] packet #3, 127.0.0.1:64155 -> 127.0.0.1:8007, sz=9 is delivered
17:45:22.735306 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:23.735843 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:24.736302 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:25.736836 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:26.737303 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:27.737774 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:28.738246 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:29.738299 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:30.738780 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:31.739266 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:32.739730 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:33.740195 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:34.740660 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:35.741163 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:36.741655 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:37.741750 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:38.742218 [queue=0] packet #1, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=3 is delivered
17:45:38.743218 [queue=0] packet #2, 127.0.0.1:8007 -> 127.0.0.1:64161, sz=7 is delivered
17:45:38.743218 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:39.743785 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:40.744252 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:41.744726 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:42.745190 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:43.745667 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:44.745789 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:45.746775 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:46.747239 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:47.747712 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:48.748248 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:49.748714 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:50.749231 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:51.749688 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:52.749739 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:53.750211 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:54.750752 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:55.751224 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:56.751688 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:57.752154 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:58.752614 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:45:59.753077 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:00.753542 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:01.754070 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:02.754532 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:03.755004 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:04.756473 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:05.757439 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:06.757898 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:07.758372 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:08.758837 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
17:46:09.759316 [queue=0] packet #3, 127.0.0.1:64161 -> 127.0.0.1:8007, sz=9 is delivered
